// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 077002EC
//  ProductCode: MTi-G-700-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: GeneralMag(3.17)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00001,153900000,1970,1,1,0,0,35,0,0.302788,-0.154561,9.801311,-0.039610,0.004289,0.007376,-0.080883,0.620999,0.115642,-4.950195,-0.592576,-6.035001
00002,163900000,1970,1,1,0,0,35,0,0.327328,-0.178260,9.806580,-0.022671,0.021360,0.012410,-0.091710,0.610047,0.109672,-4.957721,-0.581580,-6.028821
00003,173900000,1970,1,1,0,0,35,0,0.366992,-0.322119,9.733485,-0.026002,0.017499,-0.005229,-0.081031,0.621132,0.118139,-4.967058,-0.573521,-6.038923
00004,183900000,1970,1,1,0,0,35,0,0.307289,-0.200910,9.736444,-0.025869,0.029413,0.010834,-0.086373,0.618395,0.115173,-4.976385,-0.558040,-6.032991
00005,193900000,1970,1,1,0,0,35,0,0.371698,-0.240237,9.844394,0.004915,0.025202,0.019731,-0.085936,0.623609,0.110213,-4.968130,-0.544437,-6.025146
00006,203900000,1970,1,1,0,0,35,0,0.364744,-0.271796,9.768644,0.007459,0.028855,0.008341,-0.086232,0.623874,0.115208,-4.958350,-0.529338,-6.023182
00007,213900000,1970,1,1,0,0,35,0,0.311953,-0.131309,9.786186,0.012337,0.024568,0.014423,-0.083303,0.626413,0.112954,-4.945796,-0.516395,-6.017580
00008,223900000,1970,1,1,0,0,35,0,0.316414,-0.229819,9.802397,-0.029047,0.020030,0.046687,-0.067040,0.620397,0.111773,-4.957125,-0.504477,-5.991607
00009,233900000,1970,1,1,0,0,35,0,0.224681,-0.107364,9.757319,-0.009158,0.019267,0.024857,-0.080375,0.628952,0.110699,-4.956927,-0.494249,-5.970447
00010,243900000,1970,1,1,0,0,35,0,0.284119,-0.171255,9.775157,0.008714,0.028060,0.020787,-0.075322,0.626343,0.116128,-4.946461,-0.479032,-5.960084
00011,253900000,1970,1,1,0,0,35,0,0.259269,-0.215219,9.980740,-0.003975,-0.003705,0.017541,-0.072831,0.623669,0.118834,-4.943264,-0.482159,-5.947484
00012,263900000,1970,1,1,0,0,35,0,0.206257,-0.128150,9.967949,0.018812,-0.028484,0.033187,-0.070116,0.617990,0.116526,-4.927092,-0.498672,-5.924043
