// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 077002EC
//  ProductCode: MTi-G-700-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: GeneralMag(3.17)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Roll,Pitch,Yaw,Vel_E,Vel_N,Vel_U
28367,177700000,2019,4,30,12,27,46,0,-0.067693,-0.018852,9.788767,-0.427303,0.040535,0.007344,-0.007933,0.005346,-0.000467,0.663128,-0.140551,0.066525,-0.000672,-0.000181,0.097888,1.000000,-0.000040,0.000027,-0.000002,-2.509433,1.194932,103.003464,0,0,0
28368,187700000,2019,4,30,12,27,46,0,-0.051746,-0.027896,9.784248,-0.426229,0.059764,0.001198,-0.006003,0.003348,-0.000782,0.665405,-0.148842,0.071857,-0.000514,-0.000273,0.097843,1.000000,-0.000030,0.000017,-0.000004,-2.510390,1.196007,102.997986,0,0,0
28369,197700000,2019,4,30,12,27,46,0,-0.050165,-0.047347,9.816311,-0.406144,0.065690,0.029710,-0.009684,0.002074,-0.000963,0.673279,-0.151473,0.080268,-0.000500,-0.000464,0.098163,1.000000,-0.000048,0.000010,-0.000005,-2.513477,1.196282,103.003731,0,0,0
28370,207700000,2019,4,30,12,27,46,0,-0.061632,-0.013070,9.819100,-0.435518,0.049469,0.032295,-0.009143,0.003306,-0.000570,0.682591,-0.146703,0.068120,-0.000613,-0.000122,0.098191,1.000000,-0.000046,0.000017,-0.000003,-2.516256,1.197273,103.009529,0,0,0
28371,217700000,2019,4,30,12,27,46,0,-0.077371,-0.023689,9.812837,-0.424684,0.024440,0.031083,-0.009070,0.002177,0.001699,0.676458,-0.148984,0.075366,-0.000772,-0.000228,0.098128,1.000000,-0.000045,0.000011,0.000008,-2.518940,1.197728,103.007317,0,0,0
28372,227700000,2019,4,30,12,27,46,0,-0.070954,-0.007481,9.791797,-0.443073,0.030360,0.011625,-0.005450,0.004202,0.000691,0.679711,-0.143665,0.070482,-0.000705,-0.000069,0.097918,1.000000,-0.000027,0.000021,0.000003,-2.519574,1.199289,103.009438,0,0,0
28373,237700000,2019,4,30,12,27,46,0,-0.060037,-0.035196,9.796359,-0.424913,0.052114,0.015526,-0.010041,0.003765,0.001429,0.673961,-0.149188,0.069979,-0.000597,-0.000342,0.097964,1.000000,-0.000050,0.000019,0.000007,-2.522813,1.200664,103.003860,0,0,0
28374,247700000,2019,4,30,12,27,46,0,-0.038279,-0.029057,9.824639,-0.427432,0.073720,0.042269,-0.006339,-0.001387,0.002006,0.676751,-0.137658,0.075440,-0.000384,-0.000284,0.098246,1.000000,-0.000032,-0.000007,0.000010,-2.523941,1.199048,103.009033,0,0,0
28375,257700000,2019,4,30,12,27,46,0,-0.064070,-0.023438,9.805188,-0.435906,0.046712,0.022136,-0.007828,0.001070,-0.000355,0.682213,-0.149261,0.073255,-0.000640,-0.000227,0.098052,1.000000,-0.000039,0.000005,-0.000002,-2.525910,1.198871,102.995255,0,0,0
28376,267700000,2019,4,30,12,27,46,0,-0.059638,-0.013897,9.797057,-0.434494,0.049963,0.008791,-0.006861,0.004208,-0.002600,0.676605,-0.143321,0.075403,-0.000592,-0.000132,0.097971,1.000000,-0.000034,0.000021,-0.000013,-2.527391,1.200345,102.996605,0,0,0
