SDF assignment March 2019, simulated position coordinate readings
LZF, 12 Mar 2019
time/s xMeas/m yMeas/m
720000 -4933.95 -5072.86
720060 -4935.33 -5063.66
720120 -4935.54 -5059.31
720180 -4920.26 -5066.91
720240 -4936.10 -5064.72
720300 -4924.33 -5063.40
720360 -4921.15 -5066.34
720420 -4913.53 -5061.28
720480 -4915.52 -5061.06
720540 -4916.48 -5058.55
720600 -4915.25 -5056.05
720660 -4912.68 -5052.94
720720 -4911.29 -5052.90
720780 -4904.80 -5061.05
720840 -4912.58 -5060.64
720900 -4911.29 -5060.39
720960 -4904.80 -5051.88
721020 -4901.45 -5052.51
721080 -4904.19 -5053.98
721140 -4893.93 -5055.97
721200 -4893.00 -5049.93
721260 -4893.59 -5054.66
721320 -4883.43 -5047.46
721380 -4886.74 -5047.62
721440 -4885.04 -5052.36
721500 -4886.15 -5046.96
721560 -4882.19 -5044.03
721620 -4878.98 -5045.39
721680 -4870.96 -5044.99
721740 -4880.87 -5042.29
721800 -4879.76 -5043.81
721860 -4874.41 -5045.81
721920 -4868.31 -5035.57
721980 -4864.43 -5031.31
722040 -4873.32 -5038.61
722100 -4864.46 -5032.35
722160 -4860.50 -5043.61
722220 -4860.80 -5036.64
722280 -4860.55 -5040.73
722340 -4855.36 -5032.20
722400 -4855.67 -5033.40
722460 -4852.77 -5033.12
722520 -4848.88 -5035.53
722580 -4847.75 -5035.84
722640 -4848.24 -5030.11
722700 -4845.65 -5024.59
722760 -4842.16 -5014.86
722820 -4850.38 -5017.59
722880 -4844.69 -5014.11
722940 -4837.17 -5020.12
723000 -4837.06 -5007.99
723060 -4830.08 -5007.32
723120 -4837.31 -5007.13
723180 -4836.65 -4999.77
723240 -4826.01 -5000.46
723300 -4832.36 -4997.25
723360 -4814.84 -4996.77
723420 -4824.87 -4986.92
723480 -4827.55 -4991.16
723540 -4823.03 -4979.97
723600 -4826.08 -4981.01
723660 -4823.30 -4979.65
723720 -4819.92 -4974.06
723780 -4822.40 -4986.16
723840 -4826.54 -4983.24
723900 -4823.54 -4981.89
723960 -4825.97 -4983.69
724020 -4832.56 -4975.88
724080 -4828.54 -4974.37
724140 -4833.19 -4986.64
724200 -4840.35 -4983.55
724260 -4840.09 -4984.14
724320 -4841.51 -4986.94
724380 -4844.78 -4976.10
724440 -4845.31 -4991.38
724500 -4840.44 -4993.31
724560 -4849.35 -4992.65
724620 -4849.08 -4986.17
724680 -4860.20 -4987.01
724740 -4853.75 -4982.96
724800 -4862.69 -4989.69
724860 -4869.26 -4987.79
724920 -4873.02 -4992.19
724980 -4872.32 -4988.04
725040 -4864.41 -5002.02
725100 -4870.87 -4995.61
725160 -4881.31 -4994.45
725220 -4884.13 -4994.56
725280 -4888.40 -4999.06
725340 -4884.53 -5002.62
725400 -4880.78 -4991.56
725460 -4890.80 -5000.25
725520 -4892.49 -4995.03
725580 -4901.72 -5003.62
725640 -4899.59 -5003.41
725700 -4899.28 -5001.03
725760 -4900.47 -5003.58
725820 -4914.34 -5006.31
725880 -4902.37 -4994.56
725940 -4911.28 -5002.70
726000 -4914.57 -4995.78
726060 -4912.66 -5009.34
726120 -4919.58 -5009.00
726180 -4920.52 -5004.89
726240 -4922.75 -5008.10
726300 -4926.40 -5013.93
726360 -4924.78 -5009.05
726420 -4929.57 -5003.55
726480 -4936.11 -5006.75
726540 -4939.40 -5005.45
726600 -4934.39 -5014.67
726660 -4945.51 -5013.51
726720 -4944.18 -5021.97
726780 -4947.30 -5008.54
726840 -4946.00 -5011.02
726900 -4947.66 -5011.41
726960 -4948.79 -5016.06
727020 -4965.33 -5009.13
727080 -4961.21 -5010.83
727140 -4963.55 -5012.36
727200 -4964.27 -5014.52
727260 -4970.83 -5021.49
727320 -4969.46 -5009.52
727380 -4968.43 -5015.36
727440 -4979.22 -5020.33
727500 -4979.18 -5014.84
727560 -4982.68 -5022.84
727620 -4973.05 -5017.90
727680 -4984.80 -5019.16
727740 -4979.84 -5018.15
727800 -4980.28 -5019.63
727860 -4983.07 -5024.38
727920 -4985.39 -5020.85
727980 -4986.99 -5024.20
728040 -4989.29 -5018.96
728100 -4985.56 -5013.27
728160 -4988.03 -5021.45
728220 -4994.67 -5024.57
728280 -4988.86 -5026.64
728340 -4990.79 -5032.07
728400 -4993.49 -5027.59
728460 -4989.70 -5025.64
728520 -4998.65 -5027.04
728580 -4990.22 -5032.69
728640 -4988.60 -5036.31
728700 -4995.98 -5030.27
728760 -4996.89 -5035.00
728820 -4995.16 -5021.55
728880 -4993.94 -5037.78
728940 -4997.68 -5039.46
729000 -4997.16 -5044.87
729060 -4999.52 -5030.18
729120 -5000.80 -5038.34
729180 -5009.26 -5036.13
729240 -5002.11 -5037.55
729300 -4998.32 -5036.44
729360 -5007.76 -5035.56
729420 -5002.55 -5035.31
729480 -5002.43 -5039.09
729540 -5005.00 -5035.87
729600 -5012.83 -5037.50
729660 -5002.34 -5040.70
729720 -4999.78 -5031.94
729780 -5000.73 -5046.26
729840 -5011.89 -5038.25
729900 -5010.06 -5049.98
729960 -5015.88 -5036.87
730020 -5010.73 -5042.36
730080 -5006.95 -5046.66
730140 -5009.20 -5044.40
730200 -5006.89 -5044.51
730260 -5010.29 -5053.54
730320 -5014.05 -5044.64
730380 -5013.61 -5050.46
730440 -5018.43 -5046.11
730500 -5016.08 -5056.30
730560 -5018.77 -5051.34
730620 -5010.74 -5061.00
730680 -5013.23 -5049.03
730740 -5021.43 -5056.76
730800 -5026.90 -5056.96
730860 -5018.75 -5055.89
730920 -5017.16 -5054.36
730980 -5024.24 -5050.93
731040 -5016.89 -5054.32
731100 -5015.25 -5058.10
731160 -5021.74 -5056.22
731220 -5018.33 -5053.00
731280 -5024.76 -5049.35
731340 -5025.08 -5065.15
731400 -5020.75 -5059.62
731460 -5025.85 -5055.61
731520 -5033.43 -5063.50
731580 -5031.48 -5061.04
731640 -5034.35 -5064.54
731700 -5031.81 -5060.29
731760 -5030.18 -5058.52
731820 -5030.04 -5057.81
731880 -5027.91 -5063.58
731940 -5028.30 -5062.37
732000 -5033.38 -5065.55
732060 -5034.74 -5064.28
732120 -5029.94 -5063.70
732180 -5031.93 -5061.08
732240 -5036.58 -5073.77
732300 -5032.39 -5068.12
732360 -5034.87 -5066.51
732420 -5040.93 -5068.05
732480 -5029.79 -5071.73
732540 -5041.76 -5074.24
732600 -5042.86 -5072.53
732660 -5042.39 -5075.32
732720 -5039.92 -5070.74
732780 -5044.19 -5067.72
732840 -5045.98 -5076.94
732900 -5044.69 -5072.61
732960 -5044.91 -5075.98
733020 -5042.54 -5077.38
733080 -5049.77 -5075.15
733140 -5046.61 -5075.73
733200 -5051.30 -5079.39
733260 -5046.85 -5077.80
733320 -5050.69 -5073.92
733380 -5052.82 -5079.75
733440 -5046.74 -5072.71
733500 -5058.14 -5081.72
733560 -5053.03 -5091.30
733620 -5050.94 -5081.19
733680 -5048.12 -5075.88
733740 -5052.25 -5086.33
733800 -5053.05 -5087.87
733860 -5059.56 -5085.87
733920 -5053.92 -5096.75
733980 -5061.13 -5080.16
734040 -5069.81 -5091.22
734100 -5063.51 -5093.03
734160 -5076.66 -5094.36
734220 -5068.16 -5097.98
734280 -5070.79 -5102.97
734340 -5077.72 -5097.66
734400 -5075.66 -5106.77
734460 -5073.66 -5101.32
734520 -5083.16 -5100.78
734580 -5080.42 -5107.90
734640 -5080.70 -5101.12
734700 -5085.55 -5111.43
734760 -5085.12 -5113.34
734820 -5087.11 -5114.65
734880 -5091.97 -5115.42
734940 -5090.95 -5115.54
735000 -5089.43 -5115.71
735060 -5099.64 -5120.27
735120 -5102.00 -5115.77
735180 -5106.28 -5120.98
735240 -5104.34 -5126.98
735300 -5109.92 -5121.97
735360 -5101.72 -5127.26
735420 -5107.17 -5129.07
735480 -5111.16 -5129.24
735540 -5105.82 -5131.25
735600 -5114.37 -5132.58
735660 -5118.43 -5131.49
735720 -5119.64 -5133.04
735780 -5116.84 -5139.10
735840 -5119.74 -5134.04
735900 -5121.23 -5132.92
735960 -5125.07 -5140.08
736020 -5124.52 -5148.01
736080 -5135.75 -5152.36
736140 -5129.92 -5148.84
736200 -5128.00 -5140.76
736260 -5138.40 -5154.59
736320 -5133.43 -5151.32
736380 -5139.75 -5159.45
736440 -5138.94 -5149.86
736500 -5139.03 -5147.32
736560 -5145.60 -5148.60
736620 -5144.67 -5154.82
736680 -5145.65 -5166.51
736740 -5150.40 -5161.02
736800 -5148.04 -5161.84
736860 -5147.26 -5171.57
736920 -5156.03 -5165.49
736980 -5163.16 -5162.75
737040 -5158.06 -5164.21
737100 -5157.49 -5177.79
737160 -5158.01 -5168.89
737220 -5164.33 -5169.90
737280 -5166.57 -5174.84
737340 -5166.17 -5176.11
737400 -5165.18 -5185.02
737460 -5171.57 -5179.66
737520 -5170.90 -5183.32
737580 -5174.14 -5180.26
737640 -5177.67 -5185.22
737700 -5176.33 -5188.88
737760 -5178.80 -5188.50
737820 -5174.11 -5195.19
737880 -5185.43 -5187.61
737940 -5189.73 -5191.22
738000 -5193.07 -5197.12
738060 -5187.69 -5193.18
738120 -5189.49 -5191.31
738180 -5196.59 -5197.11
738240 -5195.32 -5206.31
738300 -5196.16 -5203.79
738360 -5206.28 -5207.95
738420 -5193.37 -5207.36
738480 -5200.50 -5206.51
738540 -5212.67 -5205.21
738600 -5208.64 -5216.53
738660 -5208.57 -5209.49
738720 -5208.84 -5215.17
738780 -5211.47 -5213.63
738840 -5217.04 -5218.34
738900 -5222.10 -5221.17
738960 -5212.90 -5216.24
739020 -5223.21 -5217.68
739080 -5222.05 -5226.25
739140 -5221.19 -5233.99
739200 -5219.91 -5219.79
739260 -5225.06 -5227.87
739320 -5224.94 -5229.66
739380 -5225.88 -5235.10
739440 -5231.53 -5234.85
739500 -5234.12 -5226.02
739560 -5234.04 -5237.78
739620 -5234.91 -5234.93
739680 -5245.75 -5233.72
739740 -5240.59 -5244.14
739800 -5236.10 -5248.39
739860 -5240.18 -5235.54
739920 -5240.11 -5238.00
739980 -5237.29 -5244.82
740040 -5244.82 -5246.67
740100 -5242.26 -5248.54
740160 -5242.63 -5249.20
740220 -5242.46 -5251.39
740280 -5237.45 -5253.52
740340 -5249.51 -5252.06
740400 -5240.17 -5254.13
740460 -5243.23 -5257.21
740520 -5243.44 -5257.94
740580 -5252.33 -5254.67
740640 -5246.84 -5262.53
740700 -5245.58 -5265.34
740760 -5243.66 -5267.48
740820 -5254.74 -5264.06
740880 -5252.04 -5276.12
740940 -5255.94 -5270.78
741000 -5252.73 -5269.64
741060 -5261.38 -5276.95
741120 -5248.33 -5271.76
741180 -5260.71 -5279.68
741240 -5251.72 -5274.64
741300 -5259.37 -5274.75
741360 -5254.55 -5276.06
741420 -5255.63 -5278.01
741480 -5254.99 -5279.72
741540 -5262.23 -5285.04
741600 -5258.11 -5283.41
741660 -5260.36 -5284.54
741720 -5252.83 -5286.67
741780 -5261.78 -5280.51
741840 -5265.69 -5285.58
741900 -5259.48 -5291.74
741960 -5262.13 -5293.08
742020 -5255.46 -5292.42
