SDF assignment March 2019, simulated position coordinate readings
 LZF, 12 Mar 2019
 time/s xMeas/m yMeas/m range/m angle/rad
1500000 -4285.847 -6017.401 7398.650 -2.189
1500060 -4285.988 -6029.179 7399.180 -2.189
1500120 -4292.123 -6027.856 7399.320 -2.189
1500180 -4291.509 -6029.332 7400.780 -2.189
1500240 -4283.314 -6033.242 7400.790 -2.189
1500300 -4290.227 -6033.746 7400.130 -2.189
1500360 -4287.928 -6034.714 7400.050 -2.189
1500420 -4284.045 -6027.980 7401.930 -2.189
1500480 -4288.658 -6034.883 7401.650 -2.189
1500540 -4293.251 -6036.457 7401.530 -2.189
1500600 -4289.422 -6033.199 7401.860 -2.189
1500660 -4283.839 -6035.648 7400.590 -2.189
1500720 -4291.035 -6034.414 7403.310 -2.189
1500780 -4283.005 -6041.761 7401.260 -2.189
1500840 -4287.763 -6040.074 7402.420 -2.188
1500900 -4290.624 -6034.047 7401.430 -2.189
1500960 -4289.911 -6038.802 7402.120 -2.188
1501020 -4282.962 -6038.909 7404.170 -2.188
1501080 -4285.731 -6028.336 7402.300 -2.188
1501140 -4285.377 -6031.381 7402.000 -2.188
1501200 -4292.399 -6036.984 7404.800 -2.188
1501260 -4281.472 -6041.896 7403.220 -2.188
1501320 -4285.805 -6041.769 7404.310 -2.188
1501380 -4284.566 -6029.864 7403.230 -2.188
1501440 -4280.750 -6039.674 7403.330 -2.188
1501500 -4290.455 -6037.577 7404.590 -2.188
1501560 -4283.146 -6038.584 7405.680 -2.188
1501620 -4290.827 -6036.169 7405.010 -2.188
1501680 -4292.352 -6043.339 7406.590 -2.188
1501740 -4279.940 -6043.509 7403.080 -2.188
1501800 -4283.244 -6047.213 7404.590 -2.188
1501860 -4282.285 -6047.270 7404.930 -2.187
1501920 -4287.751 -6040.822 7407.290 -2.188
1501980 -4282.404 -6042.661 7406.660 -2.187
1502040 -4287.084 -6039.942 7406.050 -2.187
1502100 -4282.025 -6044.452 7408.750 -2.187
1502160 -4285.585 -6040.144 7406.640 -2.187
1502220 -4280.950 -6040.203 7407.700 -2.187
1502280 -4271.101 -6036.593 7407.940 -2.187
1502340 -4278.741 -6045.225 7410.170 -2.187
1502400 -4284.096 -6045.546 7408.080 -2.187
1502460 -4283.280 -6044.957 7409.230 -2.187
1502520 -4289.049 -6044.653 7407.490 -2.187
1502580 -4281.293 -6046.954 7408.820 -2.187
1502640 -4277.309 -6038.790 7408.500 -2.187
1502700 -4275.623 -6043.116 7410.960 -2.187
1502760 -4283.562 -6048.985 7411.030 -2.187
1502820 -4278.460 -6044.340 7408.600 -2.187
1502880 -4278.924 -6043.544 7408.850 -2.186
1502940 -4280.066 -6051.823 7409.870 -2.187
1503000 -4283.432 -6053.460 7410.930 -2.186
1503060 -4282.376 -6052.132 7411.010 -2.187
1503120 -4280.223 -6048.900 7410.540 -2.187
1503180 -4280.195 -6049.782 7410.970 -2.187
1503240 -4280.391 -6051.475 7409.920 -2.186
1503300 -4277.062 -6050.005 7411.850 -2.186
1503360 -4275.852 -6055.034 7410.770 -2.186
1503420 -4278.882 -6054.497 7410.240 -2.186
1503480 -4277.148 -6049.943 7412.950 -2.186
1503540 -4273.047 -6053.674 7412.110 -2.186
1503600 -4280.377 -6054.433 7410.510 -2.186
1503660 -4275.558 -6060.772 7411.880 -2.186
1503720 -4275.847 -6053.620 7412.040 -2.186
1503780 -4277.968 -6052.348 7412.970 -2.186
1503840 -4277.981 -6060.331 7412.050 -2.186
1503900 -4276.878 -6056.494 7412.370 -2.186
1503960 -4279.572 -6054.294 7414.250 -2.186
1504020 -4268.979 -6051.997 7413.010 -2.186
1504080 -4276.549 -6059.902 7416.030 -2.186
1504140 -4278.528 -6059.632 7413.360 -2.186
1504200 -4276.941 -6061.031 7414.740 -2.185
1504260 -4270.939 -6064.432 7413.830 -2.185
1504320 -4282.500 -6057.742 7414.730 -2.185
1504380 -4274.173 -6057.170 7414.200 -2.185
1504440 -4272.734 -6061.735 7415.010 -2.185
1504500 -4271.289 -6062.927 7416.330 -2.185
1504560 -4280.691 -6064.120 7415.530 -2.185
1504620 -4267.222 -6061.111 7416.270 -2.185
1504680 -4275.800 -6056.267 7414.950 -2.185
1504740 -4273.311 -6072.133 7416.490 -2.185
1504800 -4275.537 -6069.748 7415.580 -2.185
1504860 -4274.705 -6056.825 7415.440 -2.185
1504920 -4279.167 -6064.474 7417.180 -2.185
1504980 -4274.501 -6062.356 7417.560 -2.185
1505040 -4276.454 -6058.307 7416.710 -2.185
1505100 -4273.843 -6056.997 7418.970 -2.185
1505160 -4271.750 -6064.189 7417.250 -2.185
1505220 -4272.810 -6061.330 7418.040 -2.185
1505280 -4268.394 -6062.515 7418.830 -2.185
1505340 -4272.551 -6062.037 7416.720 -2.184
