// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 077002EC
//  ProductCode: MTi-G-700-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: GeneralMag(3.17)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00001,427900000,1970,1,1,0,0,23,0,-0.932455,2.503683,9.372169,-0.349456,-0.147466,0.008045,0.443813,-0.310913,0.544785,7.347357,5.004883,146.650299
00002,437900000,1970,1,1,0,0,23,0,-1.001032,2.312604,9.360571,-0.414500,-0.137663,0.049903,0.450016,-0.299995,0.540169,7.115605,4.921394,146.668396
00003,447900000,1970,1,1,0,0,23,0,-0.934838,1.990227,9.438004,-0.289552,-0.103926,0.034716,0.449717,-0.305523,0.542710,6.954908,4.858222,146.680481
00004,457900000,1970,1,1,0,0,23,0,-0.827421,1.817750,9.591956,-0.117750,-0.075165,0.011747,0.444185,-0.302551,0.542262,6.891724,4.813022,146.681564
00005,467900000,1970,1,1,0,0,23,0,-0.728952,1.671418,9.809126,-0.068397,-0.056056,0.003567,0.452661,-0.294125,0.545595,6.856531,4.779268,146.679321
00006,477900000,1970,1,1,0,0,23,0,-0.442962,1.562905,9.940434,-0.051979,-0.053629,0.008714,0.441213,-0.284937,0.552451,6.831025,4.746536,146.680206
00007,487900000,1970,1,1,0,0,23,0,-0.170275,1.533982,10.114999,0.007964,-0.035469,0.039267,0.449547,-0.287979,0.553132,6.841400,4.722055,146.699783
00008,497900000,1970,1,1,0,0,23,0,-0.137369,1.502261,10.300316,0.035718,-0.052412,0.080590,0.453021,-0.274159,0.548302,6.869517,4.685078,146.741776
00009,507900000,1970,1,1,0,0,23,0,-0.043871,1.402418,10.363091,0.012048,-0.087316,0.120122,0.455214,-0.273681,0.558847,6.885653,4.625511,146.803894
00010,517900000,1970,1,1,0,0,23,0,-0.193246,1.378635,10.199188,0.040645,-0.129620,0.139899,0.447557,-0.262551,0.550487,6.918757,4.540473,146.874359
00011,527900000,1970,1,1,0,0,23,0,-0.427895,1.336246,9.851209,0.092560,-0.133567,0.139386,0.462162,-0.246041,0.549186,6.981441,4.453156,146.944138
00012,537900000,1970,1,1,0,0,23,0,-0.576103,1.348198,9.547552,0.161034,-0.104945,0.107555,0.453675,-0.242862,0.551083,7.082006,4.384237,146.997665
00013,547900000,1970,1,1,0,0,23,0,-0.628646,1.485052,9.459053,0.243418,-0.070675,0.073123,0.453968,-0.231530,0.551157,7.228390,4.337151,147.033844
00014,557900000,1970,1,1,0,0,23,0,-0.583966,1.686358,9.510383,0.311667,-0.049090,0.056565,0.454798,-0.223579,0.540901,7.413246,4.303430,147.062042
00015,567900000,1970,1,1,0,0,23,0,-0.607421,1.836064,9.612885,0.351668,-0.047804,0.052501,0.460617,-0.209418,0.544037,7.620827,4.270648,147.087891
00016,577900000,1970,1,1,0,0,23,0,-0.616520,1.936383,9.609889,0.344792,-0.036103,0.064297,0.449943,-0.212519,0.532774,7.825010,4.243518,147.121262
00017,587900000,1970,1,1,0,0,23,0,-0.608428,1.958591,9.702287,0.309871,-0.028612,0.052628,0.466752,-0.207136,0.536788,8.008737,4.221442,147.148483
00018,597900000,1970,1,1,0,0,23,0,-0.495457,2.077962,9.773494,0.257187,-0.037236,0.030124,0.459321,-0.193310,0.525870,8.161267,4.196207,147.162155
00019,607900000,1970,1,1,0,0,23,0,-0.704049,2.391507,10.041717,0.213880,-0.058363,0.004706,0.467942,-0.179218,0.529239,8.287795,4.161047,147.159576
00020,617900000,1970,1,1,0,0,23,0,-0.936982,2.915540,10.242176,0.168947,-0.124196,-0.017752,0.462715,-0.176520,0.523636,8.387290,4.090429,147.138672
