// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 077002EC
//  ProductCode: MTi-G-700-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: GeneralMag(3.17)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00001,365400000,1970,1,1,0,17,35,0,-0.032652,0.002135,9.812614,-0.006212,0.002767,-0.000165,0.553043,0.331705,0.100250,-0.024434,0.171547,61.698925
00002,375400000,1970,1,1,0,17,35,0,-0.030907,0.001425,9.804214,-0.009672,0.003470,0.002279,0.555288,0.323528,0.105513,-0.026024,0.171975,61.698753
00003,385400000,1970,1,1,0,17,35,0,-0.019088,-0.017579,9.807829,-0.003927,0.001484,-0.000130,0.549690,0.320873,0.105035,-0.024324,0.171265,61.698341
00004,395400000,1970,1,1,0,17,35,0,-0.025351,-0.010930,9.789353,-0.005820,0.002986,0.001692,0.555144,0.317943,0.105477,-0.023707,0.171417,61.698895
00005,405400000,1970,1,1,0,17,35,0,-0.032511,-0.007273,9.806453,-0.009571,0.002983,0.000547,0.555661,0.326051,0.100444,-0.025239,0.171567,61.699482
00006,415400000,1970,1,1,0,17,35,0,-0.021553,-0.012319,9.860115,-0.006654,0.005573,0.001660,0.560880,0.331904,0.108571,-0.025101,0.173201,61.699703
00007,425400000,1970,1,1,0,17,35,0,-0.027269,-0.008865,9.807473,-0.005384,0.002222,-0.000523,0.555210,0.326456,0.108075,-0.024236,0.172914,61.698322
00008,435400000,1970,1,1,0,17,35,0,-0.017678,-0.020617,9.790771,-0.009465,0.003739,0.000651,0.552748,0.326255,0.102758,-0.025708,0.173497,61.697899
00009,445400000,1970,1,1,0,17,35,0,-0.012451,-0.032620,9.794763,-0.007205,0.001530,0.001584,0.560880,0.331904,0.108571,-0.025882,0.172813,61.697845
00010,455400000,1970,1,1,0,17,35,0,-0.024809,-0.026201,9.784034,-0.007929,0.003321,0.003182,0.563727,0.323187,0.103659,-0.026470,0.173154,61.698631
00011,465400000,1970,1,1,0,17,35,0,-0.020009,-0.018340,9.831664,-0.004334,0.002837,0.003564,0.557967,0.332108,0.110885,-0.024997,0.173219,61.700932
00012,475400000,1970,1,1,0,17,35,0,-0.037855,-0.008741,9.845296,-0.004452,0.004544,0.001112,0.550130,0.331909,0.102564,-0.023598,0.174263,61.700222
00013,485400000,1970,1,1,0,17,35,0,-0.033523,-0.016062,9.801463,-0.008158,0.002528,0.000873,0.558274,0.326117,0.103217,-0.024320,0.174151,61.698849
00014,495400000,1970,1,1,0,17,35,0,-0.041744,-0.005813,9.774413,-0.005957,0.001638,-0.000691,0.563721,0.328907,0.106239,-0.023788,0.173530,61.698044
00015,505400000,1970,1,1,0,17,35,0,-0.030642,0.004949,9.787251,-0.006527,0.003538,-0.000062,0.569403,0.322914,0.101575,-0.023579,0.173997,61.697605
00016,515400000,1970,1,1,0,17,35,0,-0.027800,-0.002697,9.839498,-0.007426,0.001864,0.004256,0.560597,0.315012,0.105918,-0.023877,0.173506,61.700848
00017,525400000,1970,1,1,0,17,35,0,-0.021654,-0.020664,9.824763,-0.007540,0.003204,0.000069,0.552525,0.323597,0.105283,-0.024246,0.173781,61.701916
00018,535400000,1970,1,1,0,17,35,0,-0.046922,-0.003204,9.802457,-0.007083,0.004458,0.002075,0.566779,0.334289,0.103962,-0.024353,0.174774,61.702209
00019,545400000,1970,1,1,0,17,35,0,-0.044635,-0.010995,9.792173,-0.003367,0.002718,0.001105,0.552904,0.320399,0.097634,-0.022329,0.174771,61.701683
00020,555400000,1970,1,1,0,17,35,0,-0.034986,-0.013419,9.775815,-0.006810,0.006529,0.001259,0.560964,0.323255,0.103429,-0.022281,0.176951,61.702019
00021,565400000,1970,1,1,0,17,35,0,-0.042530,-0.016254,9.810834,-0.005779,0.003726,-0.001003,0.558346,0.328910,0.103236,-0.021646,0.177526,61.701267
00022,575400000,1970,1,1,0,17,35,0,-0.021174,-0.025302,9.835213,-0.008625,0.002755,0.002015,0.558045,0.329180,0.108323,-0.022634,0.177543,61.701260
00023,585400000,1970,1,1,0,17,35,0,-0.021637,-0.013832,9.814557,-0.006800,0.003156,0.000711,0.555583,0.328979,0.103006,-0.022578,0.177791,61.700508
00024,595400000,1970,1,1,0,17,35,0,-0.032130,0.006068,9.792809,-0.008785,0.005369,0.002494,0.555138,0.323663,0.108057,-0.023657,0.179304,61.700672
00025,605400000,1970,1,1,0,17,35,0,-0.035230,-0.023768,9.785909,-0.006219,0.005417,-0.002218,0.561115,0.323120,0.100885,-0.023275,0.180848,61.698826
00026,615400000,1970,1,1,0,17,35,0,-0.033165,-0.015689,9.799212,-0.008035,0.001298,0.002008,0.555288,0.323528,0.105513,-0.023927,0.180030,61.699902
00027,625400000,1970,1,1,0,17,35,0,-0.036877,0.008473,9.821808,-0.006327,0.001499,0.002644,0.566123,0.314874,0.106378,-0.023597,0.179330,61.700783
00028,635400000,1970,1,1,0,17,35,0,-0.033012,-0.012774,9.844891,-0.007534,0.004877,0.001087,0.555583,0.328979,0.103006,-0.023963,0.180563,61.702633
00029,645400000,1970,1,1,0,17,35,0,-0.033942,-0.009819,9.809163,-0.007407,0.002993,0.001853,0.561187,0.325913,0.100904,-0.024254,0.180719,61.702194
00030,655400000,1970,1,1,0,17,35,0,-0.029439,-0.023555,9.780886,-0.008237,0.004058,0.001879,0.560880,0.331904,0.108571,-0.025021,0.181483,61.702633
00031,665400000,1970,1,1,0,17,35,0,-0.021449,-0.023035,9.800795,-0.006758,-0.000635,0.000615,0.569554,0.322779,0.099031,-0.024943,0.179559,61.701565
00032,675400000,1970,1,1,0,17,35,0,-0.015645,-0.028344,9.811796,-0.006205,-0.000837,0.000098,0.558791,0.334226,0.098184,-0.024550,0.177517,61.702038
00033,685400000,1970,1,1,0,17,35,0,-0.034790,-0.029411,9.825068,-0.007585,0.004252,0.001297,0.558123,0.326252,0.105761,-0.024944,0.178393,61.700878
00034,695400000,1970,1,1,0,17,35,0,-0.030924,-0.026798,9.819185,-0.007600,0.002662,0.001075,0.550136,0.326189,0.099984,-0.025348,0.178358,61.700684
00035,705400000,1970,1,1,0,17,35,0,-0.031322,-0.009039,9.796269,-0.006715,0.002466,0.000025,0.560591,0.320733,0.108498,-0.025249,0.178209,61.699341
00036,715400000,1970,1,1,0,17,35,0,-0.027934,-0.015837,9.807589,-0.007138,0.006789,0.001353,0.552520,0.329318,0.107863,-0.025388,0.180538,61.700199
00037,725400000,1970,1,1,0,17,35,0,-0.028062,-0.002369,9.809834,-0.007325,0.002185,0.001407,0.544682,0.329119,0.099542,-0.025632,0.180230,61.699429
00038,735400000,1970,1,1,0,17,35,0,-0.032553,0.006562,9.811662,-0.004884,0.003642,0.004029,0.552898,0.326120,0.100214,-0.024474,0.180756,61.699688
00039,745400000,1970,1,1,0,17,35,0,-0.033237,-0.014076,9.800633,-0.007809,0.003535,0.000367,0.563794,0.331700,0.106257,-0.024997,0.181220,61.698929
00040,755400000,1970,1,1,0,17,35,0,-0.032453,0.000823,9.802653,-0.005286,0.002037,0.000369,0.563577,0.323322,0.106203,-0.024075,0.180826,61.698280
00041,765400000,1970,1,1,0,17,35,0,-0.036221,-0.017113,9.807837,-0.005973,0.002206,0.000481,0.555739,0.323123,0.097882,-0.023546,0.180529,61.698696
00042,775400000,1970,1,1,0,17,35,0,-0.033264,-0.016971,9.796011,-0.008463,0.002077,0.001333,0.558412,0.337423,0.105834,-0.024442,0.180158,61.699024
00043,785400000,1970,1,1,0,17,35,0,-0.043722,0.003914,9.816139,-0.008325,0.005561,0.001975,0.561109,0.328841,0.103465,-0.025260,0.181785,61.698082
00044,795400000,1970,1,1,0,17,35,0,-0.033993,-0.015084,9.814742,-0.007531,0.001914,-0.001703,0.555505,0.331907,0.105568,-0.025627,0.181320,61.696396
