// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 077002EC
//  ProductCode: MTi-G-700-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: GeneralMag(3.17)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00001,345400000,1970,1,1,0,20,25,0,-0.959290,-0.377638,9.739118,0.003146,-0.016190,-0.005356,0.541234,0.286109,0.134749,-2.237807,5.124744,63.931030
00002,355400000,1970,1,1,0,20,25,0,-0.925513,-0.396467,9.696881,0.005192,-0.016786,-0.006104,0.540939,0.280665,0.137253,-2.231218,5.113458,63.926140
00003,365400000,1970,1,1,0,20,25,0,-0.928399,-0.393805,9.705148,0.001440,-0.018982,-0.004012,0.552343,0.288623,0.135685,-2.226664,5.100963,63.924965
00004,375400000,1970,1,1,0,20,25,0,-0.919268,-0.391913,9.757149,-0.004292,-0.028679,-0.006197,0.546596,0.291820,0.140325,-2.225487,5.082870,63.921741
00005,385400000,1970,1,1,0,20,25,0,-0.875131,-0.399495,9.755221,-0.006969,-0.024747,-0.000699,0.543476,0.277942,0.140005,-2.225578,5.067150,63.918850
00006,395400000,1970,1,1,0,20,25,0,-0.874269,-0.382580,9.809744,-0.009264,-0.010372,0.000426,0.563308,0.285559,0.136585,-2.226951,5.059685,63.921898
00007,405400000,1970,1,1,0,20,25,0,-0.893004,-0.401195,9.902508,-0.005991,-0.006728,-0.001191,0.548989,0.283518,0.143041,-2.226536,5.054274,63.924984
00008,415400000,1970,1,1,0,20,25,0,-0.914615,-0.444124,9.848654,0.001793,-0.012901,-0.001852,0.548911,0.286442,0.145600,-2.221684,5.045310,63.925362
00009,425400000,1970,1,1,0,20,25,0,-0.953584,-0.452233,9.791100,0.005711,-0.017949,-0.003890,0.546758,0.280258,0.132631,-2.214683,5.033411,63.923283
00010,435400000,1970,1,1,0,20,25,0,-0.982831,-0.424186,9.754327,0.016185,-0.024477,-0.000355,0.546524,0.289030,0.140307,-2.201485,5.017857,63.925690
00011,445400000,1970,1,1,0,20,25,0,-0.974298,-0.363304,9.660917,0.014004,-0.032016,0.004572,0.549289,0.283248,0.137960,-2.189282,4.998093,63.926991
00012,455400000,1970,1,1,0,20,25,0,-0.910992,-0.287053,9.561500,0.000670,-0.017166,0.010623,0.543320,0.283790,0.145122,-2.184443,4.986968,63.934765
00013,465400000,1970,1,1,0,20,25,0,-0.871115,-0.288642,9.582938,-0.005864,0.007702,0.022141,0.546758,0.280258,0.132631,-2.182817,4.990334,63.946880
00014,475400000,1970,1,1,0,20,25,0,-0.847820,-0.315031,9.691687,-0.020950,0.011837,0.023500,0.554946,0.294403,0.141032,-2.189773,4.996095,63.961998
00015,485400000,1970,1,1,0,20,25,0,-0.859360,-0.344595,9.739459,-0.028907,0.012897,0.016983,0.555246,0.294133,0.135951,-2.201617,5.002323,63.968754
00016,495400000,1970,1,1,0,20,25,0,-0.885847,-0.380665,9.786098,-0.025554,0.014034,0.011287,0.549139,0.283383,0.140500,-2.211825,5.009076,63.972324
00017,505400000,1970,1,1,0,20,25,0,-0.953104,-0.386632,9.844791,-0.014957,0.008372,0.012126,0.540789,0.280800,0.139793,-2.215908,5.012609,63.980015
00018,515400000,1970,1,1,0,20,25,0,-0.957314,-0.324170,9.851153,-0.012327,-0.005941,0.008587,0.546596,0.291820,0.140325,-2.218637,5.007869,63.985085
00019,525400000,1970,1,1,0,20,25,0,-0.870122,-0.321039,9.737524,-0.003798,-0.010635,0.006072,0.549872,0.299849,0.135528,-2.216593,5.000387,63.985184
00020,535400000,1970,1,1,0,20,25,0,-0.786804,-0.332608,9.659750,-0.006744,-0.006625,0.001297,0.546830,0.283047,0.132649,-2.216485,4.995089,63.979572
00021,545400000,1970,1,1,0,20,25,0,-0.743154,-0.351848,9.670558,-0.016938,-0.011441,0.002842,0.543476,0.277942,0.140005,-2.222128,4.987073,63.981995
00022,555400000,1970,1,1,0,20,25,0,-0.701324,-0.363292,9.704254,-0.022337,-0.019430,-0.000967,0.549590,0.282979,0.132879,-2.231034,4.974399,63.983875
00023,565400000,1970,1,1,0,20,25,0,-0.655495,-0.398388,9.783903,-0.020557,-0.019381,-0.004361,0.540717,0.278011,0.139775,-2.239092,4.961672,63.982872
00024,575400000,1970,1,1,0,20,25,0,-0.644798,-0.425370,9.868409,-0.023364,-0.023091,-0.007119,0.546458,0.280528,0.137712,-2.248886,4.946756,63.980534
00025,585400000,1970,1,1,0,20,25,0,-0.729847,-0.399048,9.923369,-0.016259,-0.017922,-0.006766,0.541228,0.291822,0.137326,-2.254601,4.934805,63.978436
00026,595400000,1970,1,1,0,20,25,0,-0.682823,-0.382169,9.813027,-0.012295,-0.003373,-0.004002,0.549211,0.286172,0.140519,-2.257944,4.931239,63.971298
00027,605400000,1970,1,1,0,20,25,0,-0.718404,-0.431451,9.822949,-0.019337,0.014850,0.011086,0.541078,0.291957,0.139866,-2.264605,4.938450,63.976871
00028,615400000,1970,1,1,0,20,25,0,-0.720952,-0.454340,9.919764,-0.015350,0.013587,0.009302,0.555024,0.291478,0.138474,-2.269073,4.944891,63.976982
00029,625400000,1970,1,1,0,20,25,0,-0.683849,-0.400825,9.847383,-0.016422,0.009283,0.007557,0.543771,0.283386,0.137501,-2.274229,4.948829,63.979633
00030,635400000,1970,1,1,0,20,25,0,-0.708356,-0.307376,9.737265,-0.015994,0.045607,0.013512,0.549500,0.297329,0.140591,-2.278914,4.973695,63.985943
00031,645400000,1970,1,1,0,20,25,0,-0.684676,-0.256239,9.733555,-0.020352,0.078631,0.030159,0.552193,0.288758,0.138226,-2.285330,5.017843,63.996094
00032,655400000,1970,1,1,0,20,25,0,-0.639847,-0.343810,9.824516,-0.030844,0.077156,0.022222,0.543849,0.280462,0.134942,-2.298139,5.060966,64.006165
00033,665400000,1970,1,1,0,20,25,0,-0.618225,-0.322984,9.861763,-0.035854,0.056903,0.002451,0.549433,0.288827,0.137996,-2.314775,5.092039,64.007111
00034,675400000,1970,1,1,0,20,25,0,-0.673196,-0.344245,9.827710,-0.029703,0.039656,-0.019303,0.540789,0.280800,0.139793,-2.328961,5.112728,63.993397
00035,685400000,1970,1,1,0,20,25,0,-0.692187,-0.302910,9.774474,-0.010377,0.026709,-0.035226,0.554730,0.286035,0.140978,-2.332870,5.125628,63.972603
00036,695400000,1970,1,1,0,20,25,0,-0.711848,-0.312852,9.780965,-0.001974,-0.005418,-0.063652,0.541222,0.297535,0.139903,-2.333351,5.119470,63.937115
00037,705400000,1970,1,1,0,20,25,0,-0.701385,-0.232383,9.638268,-0.002642,-0.029648,-0.077041,0.543909,0.294677,0.140114,-2.334846,5.099127,63.886421
00038,715400000,1970,1,1,0,20,25,0,-0.707885,-0.208861,9.502048,-0.005720,-0.023429,-0.083383,0.548983,0.289231,0.145618,-2.338422,5.082187,63.834217
00039,725400000,1970,1,1,0,20,25,0,-0.739000,-0.214771,9.490051,-0.025182,-0.005192,-0.075469,0.541378,0.291687,0.134785,-2.352771,5.075865,63.790073
00040,735400000,1970,1,1,0,20,25,0,-0.731112,-0.288550,9.573765,-0.044381,0.010485,-0.071703,0.549289,0.283248,0.137960,-2.377955,5.078591,63.745140
00041,745400000,1970,1,1,0,20,25,0,-0.806263,-0.360574,9.686847,-0.054629,0.021697,-0.065462,0.546674,0.288895,0.137767,-2.408716,5.087864,63.709347
00042,755400000,1970,1,1,0,20,25,0,-0.909966,-0.430500,9.771887,-0.058686,0.027230,-0.065575,0.549572,0.300118,0.140609,-2.441830,5.100275,63.670368
00043,765400000,1970,1,1,0,20,25,0,-0.968901,-0.499602,9.759208,-0.057743,0.039562,-0.058347,0.543765,0.289099,0.140078,-2.474080,5.119901,63.631054
00044,775400000,1970,1,1,0,20,25,0,-0.983845,-0.572686,9.836114,-0.061075,0.045593,-0.043670,0.548905,0.292155,0.148177,-2.507507,5.143327,63.603844
00045,785400000,1970,1,1,0,20,25,0,-1.071152,-0.635442,9.937848,-0.054916,0.038644,-0.035318,0.538325,0.286312,0.137060,-2.536971,5.162973,63.581528
00046,795400000,1970,1,1,0,20,25,0,-1.111818,-0.638914,10.001462,-0.040411,0.027050,-0.039072,0.551448,0.283719,0.148352,-2.558302,5.175882,63.557655
00047,805400000,1970,1,1,0,20,25,0,-1.117548,-0.667862,10.002770,-0.017157,0.003953,-0.046725,0.549217,0.280459,0.137942,-2.566654,5.175369,63.534187
00048,815400000,1970,1,1,0,20,25,0,-1.130002,-0.635272,9.939573,-0.004857,-0.010903,-0.053885,0.540928,0.292092,0.142407,-2.568296,5.166175,63.507954
00049,825400000,1970,1,1,0,20,25,0,-1.133559,-0.586176,9.809808,0.003441,-0.009374,-0.046470,0.541150,0.294746,0.139884,-2.564806,5.158047,63.478985
00050,835400000,1970,1,1,0,20,25,0,-1.125520,-0.550351,9.768804,0.013367,0.005460,-0.034144,0.540699,0.295151,0.147506,-2.555027,5.158733,63.455807
00051,845400000,1970,1,1,0,20,25,0,-1.086033,-0.531401,9.749037,0.008670,0.004376,-0.022519,0.546452,0.286241,0.140289,-2.547337,5.159100,63.439209
00052,855400000,1970,1,1,0,20,25,0,-1.030303,-0.524362,9.696041,0.010806,0.006401,-0.022914,0.540855,0.289303,0.142389,-2.538447,5.160623,63.427727
00053,865400000,1970,1,1,0,20,25,0,-0.996264,-0.547042,9.699447,-0.002777,0.008949,-0.022812,0.546440,0.297668,0.145443,-2.537348,5.163609,63.413635
00054,875400000,1970,1,1,0,20,25,0,-1.008540,-0.594317,9.756658,-0.007225,-0.001611,-0.027902,0.549277,0.294675,0.143114,-2.539035,5.160423,63.394547
00055,885400000,1970,1,1,0,20,25,0,-1.085177,-0.616190,9.800060,-0.009228,-0.016841,-0.024164,0.549428,0.294540,0.140573,-2.541640,5.148615,63.380104
