// General information: 
//  MT Manager version: 2019.0.1 
//  XDA version: 2019.0.1 build 2740 rev 84096 built on 2019-01-30
// Device information: 
//  DeviceId: 077002EC
//  ProductCode: MTi-G-700-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: GeneralMag(3.17)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Roll,Pitch,Yaw
00001,75400000,1970,1,1,0,21,31,0,-0.261916,0.268292,9.691383,0.004427,-0.029954,0.077049,0.534280,0.340387,0.093628,1.068502,2.754830,54.131207
00002,85400000,1970,1,1,0,21,31,0,-0.250650,0.253914,9.713252,0.003870,-0.033078,0.071057,0.531371,0.334868,0.093361,1.076480,2.733567,54.171848
00003,95400000,1970,1,1,0,21,31,0,-0.299194,0.240171,9.712844,0.006371,-0.031675,0.060515,0.528463,0.329349,0.093095,1.085594,2.713212,54.206409
00004,105400000,1970,1,1,0,21,31,0,-0.379081,0.250372,9.657318,0.001960,-0.033740,0.059463,0.525687,0.340864,0.098027,1.092138,2.691679,54.240250
00005,115400000,1970,1,1,0,21,31,0,-0.401196,0.273569,9.613955,-0.002427,-0.045588,0.059773,0.534063,0.332005,0.093573,1.096156,2.663356,54.271664
00006,125400000,1970,1,1,0,21,31,0,-0.449704,0.324108,9.557531,-0.011409,-0.047174,0.061746,0.528980,0.337461,0.088060,1.095064,2.634098,54.307121
00007,135400000,1970,1,1,0,21,31,0,-0.457069,0.337160,9.547902,-0.035220,-0.016475,0.077218,0.528306,0.335207,0.098221,1.080742,2.622266,54.349682
00008,145400000,1970,1,1,0,21,31,0,-0.388125,0.292813,9.537869,-0.023570,0.036280,0.080734,0.528535,0.332143,0.093113,1.073220,2.640623,54.395489
00009,155400000,1970,1,1,0,21,31,0,-0.349622,0.197729,9.645349,-0.047340,0.069427,0.078687,0.533985,0.334934,0.096136,1.052063,2.678000,54.440887
00010,165400000,1970,1,1,0,21,31,0,-0.407920,0.119059,9.809364,-0.055563,0.071343,0.070723,0.531516,0.340456,0.093398,1.026011,2.716578,54.481640
00011,175400000,1970,1,1,0,21,31,0,-0.566619,0.048644,9.956799,-0.063910,0.059525,0.060068,0.530992,0.338067,0.101014,0.994901,2.748514,54.515034
00012,185400000,1970,1,1,0,21,31,0,-0.697801,-0.009829,10.094314,-0.051303,0.047189,0.051664,0.530998,0.332344,0.098433,0.970793,2.773480,54.544140
00013,195400000,1970,1,1,0,21,31,0,-0.787026,-0.084953,10.182522,-0.025397,0.025262,0.049103,0.538917,0.329614,0.104194,0.961454,2.785920,54.572384
00014,205400000,1970,1,1,0,21,31,0,-0.789317,-0.103599,10.239198,-0.001409,-0.003789,0.052015,0.530926,0.329550,0.098415,0.965927,2.781695,54.602959
00015,215400000,1970,1,1,0,21,31,0,-0.759423,-0.023354,10.229476,0.028798,-0.042863,0.049531,0.525693,0.335141,0.095446,0.987611,2.755107,54.630062
00016,225400000,1970,1,1,0,21,31,0,-0.712060,0.033638,10.104261,0.052065,-0.069325,0.039871,0.533913,0.332140,0.096118,1.022328,2.713446,54.649914
00017,235400000,1970,1,1,0,21,31,0,-0.723353,0.109846,9.890059,0.058434,-0.085000,0.035972,0.533840,0.329346,0.096100,1.060564,2.662834,54.669552
00018,245400000,1970,1,1,0,21,31,0,-0.715917,0.213465,9.712335,0.049257,-0.084036,0.044634,0.531444,0.337662,0.093380,1.093749,2.612675,54.694199
00019,255400000,1970,1,1,0,21,31,0,-0.683257,0.226290,9.643521,0.047750,-0.063788,0.054734,0.531371,0.334868,0.093361,1.126326,2.573993,54.722801
00020,265400000,1970,1,1,0,21,31,0,-0.702317,0.291068,9.715224,0.017629,-0.041505,0.070272,0.528390,0.326555,0.093077,1.142038,2.547889,54.761600
00021,275400000,1970,1,1,0,21,31,0,-0.664986,0.243388,9.824005,-0.005448,-0.016285,0.071805,0.531149,0.332209,0.095888,1.144566,2.536212,54.802624
00022,285400000,1970,1,1,0,21,31,0,-0.729332,0.221188,9.778491,-0.009951,0.004326,0.080089,0.531455,0.326216,0.088217,1.144733,2.536248,54.847538
00023,295400000,1970,1,1,0,21,31,0,-0.701024,0.270436,9.899544,-0.008589,0.028854,0.084656,0.544523,0.326547,0.102091,1.145814,2.550284,54.896374
00024,305400000,1970,1,1,0,21,31,0,-0.777473,0.183400,9.940783,-0.000598,0.030510,0.081085,0.533919,0.326417,0.093537,1.151398,2.565310,54.944351
00025,315400000,1970,1,1,0,21,31,0,-0.887805,0.210235,9.924431,0.012965,0.023009,0.084049,0.544680,0.320689,0.096965,1.164835,2.576003,54.991623
00026,325400000,1970,1,1,0,21,31,0,-0.915272,0.191961,9.828494,0.026798,0.008720,0.086918,0.531004,0.326621,0.095852,1.186270,2.578469,55.042736
00027,335400000,1970,1,1,0,21,31,0,-0.802647,0.221579,9.718986,0.029893,0.001512,0.099571,0.531155,0.326486,0.093307,1.209802,2.576638,55.097427
00028,345400000,1970,1,1,0,21,31,0,-0.602683,0.222729,9.761570,0.027985,-0.000103,0.107858,0.539369,0.329208,0.096560,1.232451,2.573763,55.157677
00029,355400000,1970,1,1,0,21,31,0,-0.488242,0.213025,9.834929,0.025469,-0.004366,0.114331,0.539452,0.320556,0.091416,1.253819,2.568347,55.222420
00030,365400000,1970,1,1,0,21,31,0,-0.476015,0.219409,9.786213,0.023166,-0.006074,0.112804,0.542439,0.323146,0.089119,1.273822,2.561947,55.287430
00031,375400000,1970,1,1,0,21,31,0,-0.509926,0.292740,9.800070,0.018173,-0.011408,0.119518,0.530860,0.321033,0.095815,1.291122,2.552384,55.355419
00032,385400000,1970,1,1,0,21,31,0,-0.436523,0.273959,9.727052,0.029052,-0.024570,0.114327,0.530938,0.318104,0.093252,1.314501,2.535326,55.419067
00033,395400000,1970,1,1,0,21,31,0,-0.337201,0.272802,9.573030,0.012449,-0.035804,0.116708,0.536237,0.321030,0.098820,1.328400,2.511780,55.484665
00034,405400000,1970,1,1,0,21,31,0,-0.256856,0.280614,9.532249,-0.016329,-0.028863,0.135083,0.539675,0.323215,0.088889,1.326252,2.491958,55.561016
00035,415400000,1970,1,1,0,21,31,0,-0.313610,0.229883,9.599998,-0.048645,-0.020641,0.156092,0.536321,0.312378,0.093676,1.306092,2.476582,55.649334
00036,425400000,1970,1,1,0,21,31,0,-0.334367,0.099114,9.709661,-0.084001,-0.022159,0.188385,0.533924,0.320694,0.090956,1.266446,2.459967,55.757191
00037,435400000,1970,1,1,0,21,31,0,-0.355501,0.035027,9.942765,-0.100284,-0.043277,0.221844,0.539308,0.314968,0.091379,1.218235,2.430921,55.882008
00038,445400000,1970,1,1,0,21,31,0,-0.326742,0.109841,10.211467,-0.037353,-0.062894,0.208728,0.539380,0.317762,0.091397,1.205676,2.390863,56.000702
00039,455400000,1970,1,1,0,21,31,0,-0.303819,0.078884,10.240003,0.082400,-0.089372,0.152248,0.536321,0.312378,0.093676,1.260284,2.336292,56.085747
00040,465400000,1970,1,1,0,21,31,0,-0.221054,0.138558,9.908045,0.118810,-0.099601,0.113569,0.533852,0.317900,0.090937,1.334766,2.276264,56.148979
00041,475400000,1970,1,1,0,21,31,0,-0.157135,0.251323,9.679042,0.107659,-0.079582,0.099618,0.536622,0.312108,0.088586,1.402493,2.227814,56.203094
